Year,Age,Sex,Mean,SD
1987,15,Male,58.4,9.88
1987,16,Male,60.3,9.28
1987,17,Male,61.8,9.19
1987,5,Female,18.9,2.5
1987,6,Female,20.9,3.1
1987,7,Female,23.3,3.68
1987,8,Female,26.3,4.55
1987,9,Female,29.5,5.4
1987,10,Female,33.6,6.54
1987,11,Female,38.3,7.39
1987,12,Female,43.5,7.74
1987,13,Female,47.1,7.31
1987,14,Female,49.8,7.07
1987,15,Female,52.1,7.24
1987,16,Female,52.7,6.89
1987,17,Female,52.8,6.81
1986,5,Male,19.2,2.57
1986,6,Male,21.2,3.08
1986,7,Male,23.8,3.77
1986,8,Male,26.7,4.58
1986,9,Male,29.7,5.52
1986,10,Male,33.1,6.44
1986,11,Male,37,7.53
1986,12,Male,42.2,8.73
1986,13,Male,47.7,9.2
1986,14,Male,53.3,9.52
1986,15,Male,58.3,9.65
1986,16,Male,60.4,9.08
1986,17,Male,61.8,8.98
1986,5,Female,18.8,2.48
1986,6,Female,20.8,3.04
1986,7,Female,23.3,3.67
1986,8,Female,26.2,4.4
1986,9,Female,29.4,5.26
1986,10,Female,33.3,6.29
1986,11,Female,38.2,7.3
1986,12,Female,43.4,7.73
1986,13,Female,47.1,7.36
1986,14,Female,50,7
1986,15,Female,52.1,7.44
1986,16,Female,52.8,6.98
1986,17,Female,52.8,6.65
1985,5,Male,19.1,2.48
1985,6,Male,21.2,3.04
1985,7,Male,23.7,3.67
1985,8,Male,26.5,4.42
1985,9,Male,29.5,5.25
1985,10,Male,32.8,6.25
1985,11,Male,36.5,7.33
1985,12,Male,41.8,8.42
1985,13,Male,47.4,9.08
1985,14,Male,53,9.28
1985,15,Male,57.9,9.49
1985,16,Male,60,9.08
1985,17,Male,61.5,8.79
1985,5,Female,18.7,2.45
1985,6,Female,20.7,2.97
1985,7,Female,23.2,3.55
1985,8,Female,26,4.31
1985,9,Female,29.2,5.21
1985,10,Female,33.1,6.35
1985,11,Female,37.8,7.2
1985,12,Female,42.9,7.55
1985,13,Female,46.8,7.29
1985,14,Female,49.8,6.99
1985,15,Female,51.9,7.23
1985,16,Female,52.7,6.89
1985,17,Female,52.8,6.71
1984,5,Male,19.1,2.47
1984,6,Male,21.1,3.01
1984,7,Male,23.5,3.57
1984,8,Male,26.3,4.3
1984,9,Male,29.4,5.27
1984,10,Male,32.7,6.08
1984,11,Male,36.4,7.12
1984,12,Male,41.7,8.43
1984,13,Male,47.3,9.13
1984,14,Male,52.8,9.12
1984,15,Male,57.9,9.4
1984,16,Male,60,8.78
1984,17,Male,61.5,8.47
1984,5,Female,18.7,2.43
1984,6,Female,20.7,2.95
1984,7,Female,23,3.47
1984,8,Female,25.8,4.17
1984,9,Female,29.1,5.15
1984,10,Female,33,6.16
1984,11,Female,37.7,7.2
1984,12,Female,42.9,7.51
1984,13,Female,46.8,7.1
1984,14,Female,49.7,6.91
