,Year,Age,Sex,Mean,SD,M3,M4
206,1990,16,Female,52.6,7.23,1.18262666196598,6.65404813046189
207,1990,17,Male,62,9.43,1.45165969316468,7.22082439937009
208,1990,17,Female,52.8,7,1.17072830635725,6.44723577372076
209,1991,5,Male,19.3,2.76,1.59637999657445,9.08458149872022
210,1991,5,Female,18.9,2.66,1.25097302430661,7.60146561934541
211,1991,6,Male,21.5,3.36,1.56432543730832,7.91934269486054
212,1991,6,Female,21.2,3.3,1.37932457177122,6.72917677222027
213,1991,7,Male,24.1,3.98,1.70508533805244,8.55656927780314
214,1991,7,Female,23.6,3.88,1.42562315547366,7.16097041882583
215,1991,8,Male,27.1,4.97,1.63664179074994,7.50782015970151
216,1991,8,Female,26.6,4.65,1.34683086089069,6.062812409595
217,1991,9,Male,30.5,6.01,1.50799408532789,6.53115999411181
218,1991,9,Female,30,5.69,1.31678078718125,5.78196950013753
219,1991,10,Male,34.1,7.04,1.33671784805309,5.52792689960657
220,1991,10,Female,33.9,6.69,1.1096960773442,5.07400312158235
221,1991,11,Male,38,8,1.28374587241872,5.58224072129583
222,1991,11,Female,39,7.76,0.921021175552604,4.59664347848478
223,1991,12,Male,43.9,9.45,1.09287721181592,4.90642754975421
224,1991,12,Female,44,8.02,0.876680960738305,5.14482985770034
225,1991,13,Male,49.3,9.89,1.08649749167911,5.59521502457747
226,1991,13,Female,47.5,7.66,1.07336400943109,6.0492172120269
227,1991,14,Male,54.5,9.94,1.12628320943945,5.75385560660393
228,1991,14,Female,50.2,7.4,1.10939724215137,6.20936476831866
229,1991,15,Male,59.2,10.5,1.24627674260421,5.75677800064326
230,1991,15,Female,52.1,7.71,1.21490068623576,6.39994403857976
231,1991,16,Male,61.2,10.11,1.48637510889407,6.98658319874256
232,1991,16,Female,52.9,7.4,1.25032600210463,7.10135244654772
233,1991,17,Male,62.2,9.73,1.44186071156408,6.96844328049084
234,1991,17,Female,52.8,7.23,1.26028359007208,6.84367285725532
235,1992,5,Male,19.3,2.73,1.41134523491288,8.2058207666147
236,1992,5,Female,19,2.68,1.2274033747411,6.98553602674989
237,1992,6,Male,21.6,3.42,1.53784409353027,7.66116777196469
238,1992,6,Female,21.1,3.31,1.44928310494229,7.49808610738752
239,1992,7,Male,24.2,4.1,1.63756133145401,8.01598993640886
240,1992,7,Female,23.6,3.86,1.35460290756096,6.51292145400708
241,1992,8,Male,27.2,5.1,1.65677162349408,7.5870956144836
242,1992,8,Female,26.6,4.72,1.33531806165942,6.10623822230526
243,1992,9,Male,30.6,6.11,1.51453204278235,6.50620557961877
244,1992,9,Female,30.1,5.81,1.30319863208524,5.72759727155491
245,1992,10,Male,34.2,7.12,1.41568649028434,6.01866302360663
246,1992,10,Female,34.2,6.87,1.11889040265905,5.02506921186968
247,1992,11,Male,38.2,8.15,1.28760907578555,5.54611653141626
248,1992,11,Female,39.1,7.75,0.90506528225486,4.52529861237413
249,1992,12,Male,44,9.29,1.0295274910102,4.77727182238927
250,1992,12,Female,44.3,8.12,0.931330782673602,5.10352735045296
251,1992,13,Male,49.4,9.93,1.10233494639523,5.726037819332
252,1992,13,Female,47.8,7.8,1.05786570153906,5.88980918509475
253,1992,14,Male,54.7,9.9,1.11742725310667,5.52393520328687
254,1992,14,Female,50.5,7.53,1.10693832175046,6.24459231358495
255,1992,15,Male,59.3,10.35,1.34437673057003,6.54580237512843
256,1992,15,Female,52.2,7.73,1.16622933154907,6.02667009400245
257,1992,16,Male,61.4,10.06,1.46962285711201,6.94393815547006
258,1992,16,Female,53,7.34,1.15632571302803,6.10573146265026
259,1992,17,Male,62.8,9.82,1.38717811977448,6.48181866714793
260,1992,17,Female,52.9,7.26,1.34260905011162,7.56702529953764
261,1993,5,Male,19.4,2.7,1.23589764315166,7.12057231726629
262,1993,5,Female,19,2.69,1.17612812873508,6.63335210805706
263,1993,6,Male,21.7,3.48,1.58509751806102,7.78263983843051
264,1993,6,Female,21.2,3.35,1.4073899880968,7.42866601322531
265,1993,7,Male,24.3,4.22,1.71758052796172,8.51097631950103
266,1993,7,Female,23.8,3.91,1.31961403339236,6.31587798191945
267,1993,8,Male,27.4,5.2,1.73315219132983,8.42431747498423
268,1993,8,Female,26.8,4.86,1.42203222341633,6.63351176173011
269,1993,9,Male,30.6,6.05,1.45367918981012,6.38257033402594
270,1993,9,Female,30.2,5.75,1.17401785096795,5.09973438189973
271,1993,10,Male,34.3,7.24,1.43292944775476,6.00745437230446
272,1993,10,Female,34.4,6.98,1.07589667026426,4.78903361164786
273,1993,11,Male,38.4,8.32,1.20538147065883,4.93695238797344
274,1993,11,Female,39.4,7.85,0.961376553191072,4.87528865576548
275,1993,12,Male,44,9.46,1.06740337815627,4.96161501012724
276,1993,12,Female,44.2,7.99,0.814934567394723,4.70318205343847
277,1993,13,Male,49.3,9.81,1.00739549906029,5.11826729970066
278,1993,13,Female,47.9,7.84,1.0255788056202,5.61440593071265
279,1993,14,Male,54.7,9.89,1.06920108452824,5.42413845531439
280,1993,14,Female,50.4,7.52,1.19213570775901,6.50832557343713
281,1993,15,Male,59.7,10.52,1.25177586431222,5.65607082368903
282,1993,15,Female,52.3,7.81,1.30843578782582,7.07633200129213
283,1993,16,Male,61.5,10.09,1.45313461146167,6.81324944352309
284,1993,16,Female,53,7.38,1.23803182484073,6.55578879269795
285,1993,17,Male,62.8,10.02,1.43226524606669,6.76165569742353
286,1993,17,Female,53.2,7.47,1.38903655648822,7.66091395470282
287,1994,5,Male,19.3,2.78,1.44259476491748,7.87473694805466
288,1994,5,Female,18.9,2.69,1.25905302037339,6.88695765749514
